id_img,label
10052,neutral
10065,fear
10079,sad
10095,angry
10121,angry
10148,angry
10163,sad
10215,sad
1024,sad
10286,angry
10315,neutral
10336,happy
10338,fear
10371,angry
10382,sad
10399,happy
10415,neutral
10426,sad
10551,sad
10554,angry
10583,fear
10699,angry
10702,neutral
1071,angry
10743,angry
10746,neutral
10818,happy
10823,neutral
10825,neutral
10839,happy
10854,happy
10970,neutral
11002,sad
11017,angry
11024,sad
11028,angry
1106,neutral
11075,angry
11093,happy
11096,fear
11158,angry
11169,happy
11186,angry
11188,happy
11200,sad
1124,angry
11266,fear
1127,fear
11337,angry
11342,sad
11400,sad
11421,angry
11467,neutral
11561,sad
11610,angry
11613,fear
11632,angry
11642,neutral
11675,angry
11694,angry
1177,angry
11813,angry
11841,angry
11849,angry
11883,sad
11949,angry
11964,happy
11986,angry
12136,neutral
12144,neutral
1215,neutral
12171,neutral
12183,surprise
12230,sad
12237,neutral
12307,sad
1235,angry
12352,neutral
12489,sad
12680,angry
12695,angry
12733,fear
12808,angry
12810,angry
12841,sad
12842,neutral
12851,happy
12928,neutral
12945,sad
13029,angry
13041,angry
13057,surprise
13059,neutral
13092,neutral
13118,angry
13167,sad
13220,neutral
13267,neutral
13279,neutral
13334,sad
13351,sad
13376,neutral
13395,neutral
1340,angry
13431,neutral
1350,neutral
13514,sad
13533,surprise
13535,happy
1358,sad
13582,angry
13599,neutral
13607,angry
13671,fear
13672,sad
13738,angry
13758,neutral
1386,surprise
13890,neutral
13978,surprise
14022,angry
14030,angry
14058,sad
14108,angry
14118,happy
14120,neutral
14148,sad
14185,sad
14206,happy
1422,sad
14243,neutral
14315,surprise
14329,angry
14357,sad
14376,neutral
1438,neutral
14381,sad
14421,angry
14438,sad
14498,neutral
14557,neutral
1460,neutral
14706,angry
1477,neutral
14775,neutral
14821,sad
14831,sad
14870,angry
14945,neutral
15074,sad
1508,neutral
15138,happy
15172,neutral
15190,angry
15194,angry
15217,neutral
15222,neutral
15295,sad
15474,sad
15500,sad
15502,sad
1555,neutral
